# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
😃;күлгөн бет;бет|күл|күлгөн бет
😄;каткырып күлгөн бет;бет|каткыр|каткырып күлгөн бет|күл
😁;көздөрүн жымыңдатып ырсайган бет;бет|жымыңда|көз|көздөрүн жымыңдатып ырсайган бет|ырсай
😆;көздөрүн чылк жумуп күлгөн бет;бет|жумуп|көздөрүн чылк жумуп күлгөн бет|күл|чылк
😅;тердегенче күлгөн бет;бет|күл|терде|тердегенче күлгөн бет
🤣;тоголонуп күлүү;күлүү|тоголонуп күлүү|тоголонуу
😂;боору эзилип күлгөн бет;бет|боор|боору эзилип күлгөн бет|күл|эзил
🙂;күлүмсүрөгөн бет;бет|күлүмсүрө|күлүмсүрөгөн бет
🙃;башын ылдый каратып турган бет;башын ылдый|башын ылдый каратып турган бет|бет
🫠;ээрип жаткан бет;ээрип жаткан бет
😉;көзүн кыскан бет;бет|көз кыс|көзүн кыскан бет
😊;уялыңкы жылмайган бет;бет|жылмай|уялыңкы|уялыңкы жылмайган бет
😇;башында тегереги бар жылмайган бет;башында тегереги бар жылмайган бет|бейкүнөө|бет|периште|тегерек
🥰;жүрөктөр каптаган жылмайган жүз;жактыруу|жүрөктөр каптаган жылмайган жүз|суктануу|сүйүп калуу
😍;сүйүүгө башы айланган бет;баш айлан|бет|сүйүү|сүйүүгө башы айланган бет
🤩;жылдыз оорусу;бет|жылдыз|жылдыз оорусу|көздөр|ырсактап күлүү
😘;аралыктан өөп жаткан бет;аралыктан өөп жаткан бет|бет|жүрөк|өп
😗;өөп жаткан бет;бет|өөп жаткан бет|өп
☺️;жылмайган бет;бет|жылмай|жылмайган бет|эркин
😚;көздөрүн жумуп өөп жаткан бет;бет|жум|көз|көздөрүн жумуп өөп жаткан бет|өп
😙;көздөрүн сүзүп өөп жаткан бет;бет|көз|көздөрүн сүзүп өөп жаткан бет|өп|сүзүү
🥲;ыйлаган жылмайган жүз;ыйлаган жылмайган жүз
😋;даамдуу тамак татып жаткан бет;бет|даамдуу тамак татып жаткан бет|жылмай|ням-ням|тат
😛;тилин көрсөткөн бет;бет|көрсөт|сунуу|тил|тилин көрсөткөн бет
😜;көзүн кысып тилин көрсөткөн бет;бет|көз|көзүн кысып тилин көрсөткөн бет|көзүн кысып тилин сунган бет|тамаша|тил
🤪;жинденген жүз;жинденген жүз|кичине|көз|чоң
😝;көздөрүн чылк жумуп, тилин сунган бет;бет|даам|көз|көздөрүн чылк жумуп|көздөрүн чылк жумуп, тилин сунган бет|тил|тилин көрсөткөн бет|тилин сунган бет
🤑;акча тиштеген бет;акча|акча тиштеген бет|бет|тиште
🤗;кучактап жаткан бет;бет|кучак|кучакта|кучактап жаткан бет
🤭;оозун колу менен жапкан жүз;ой!|оозун колу менен жапкан жүз
🫢;көзү ачык жана колу менен оозун жапкан бет;корккон|көзү ачык жана колу менен оозун жапкан бет|көзү ачык колу менен оозун жапкан бет|көзүнө ишенбеген бет|сюрприз|таң калган|уялуу
🫣;көзүн жаап алып, бирок акырын тешиктен караган бет;бирок акырын тешиктен караган бет|көзүн жаап алып|көзүн жаап алып, бирок акырын тешиктен караган бет
🤫;акырын деген жүз;акырын|акырын деген жүз|тынч
🤔;ойго баткан бет;бет|ойго бат|ойго баткан бет|ойлонгон
🫡;салам берген бет;салам берген бет
🤐;эч кимге ооз ачпайм деген бет;ачпа|бет|ооз|сыдырма|эч кимге ооз ачпайм деген бет
🤨;кашын серпкен жүз;ишенбөө|кашын серпкен жүз|шектенүү
😐;эриндерин бекем кыскан бет;бекем|кыс|эрин|эриндерин бекем кыскан бет
😑;кебелбеген бет;бет|кебелбе|кебелбеген бет
😶;оозу жок бет;акырын|бет|ооз|оозу жок бет|тынч
🫥;сызыкчадан турган бет;сызыкчадан турган бет
😶‍🌫️;булуттагы жүз;булут каптаган жүз|булуттагы жүз|ойго чөккөн|туман баскан жүз
😏;мыйыгынан жылмайган бет;бет|мыйыгынан|мыйыгынан жылмайган бет
😒;таарынган бет;бет|жактырбаган|таарынган бет|таарынуу
🙄;көзүн сүзгөн бет;бет|көз|көз сүз|көзүн сүзгөн бет
😬;кебетесин бузган бет;бет|буз|кебете|кебетесин бузган бет
😮‍💨;үшкүрүнгөн жүз;дем берүү|жеңилдөө|онтоо|терең дем алуу|үшкүрүнгөн жүз|шыбыроо|ышкыруу
🤥;жалганчы бет;бет|жалган|жалганчы бет|пиноккио
🫨;титиреген бет;бет|жер титирөө|титиреген бет|титирөө|шок
🙂‍↔️;оңго-солго кыймылдаган жүз;деп баш чайкоо|жок|оңго-солго кыймылдаган жүз|чайкаган жүз
🙂‍↕️;өйдөдөн ылдый ийилген жүз;ооба деп башты ийкөө|өйдөдөн ылдый ийилген жүз
😌;магдыраган бет;бет|магдыра|магдыраган бет
😔;кайгылуу бет;бет|кайгылуу|муңдуу
😪;уйкусу келген бет;бет|уйку|уйкусу келген бет
🤤;шилекейин чууруткан бет;бет|шилекей|шилекейин чууруткан бет
😴;уктап жаткан бет;бет|укта|уктап жаткан бет|шшш
😷;медициналык беткапчан бет;беткап|дарыгер|медициналык беткапчан бет|оору|суук
🤒;градусник тиштеген бет;бет|градусник|градусник тиштеген бет|оору
🤕;башы бинттелген бет;башы бинттелген бет|бет|бинт|оорутуу
🤢;жүрөгү айланган бет;бет|жүрөгү айланган|жүрөгү айланган бет|кусуу
🤮;кусуп жаткан жүз;жүрөгү айлануу|кусуп жаткан жүз|кусуу
🤧;бышкырып жаткан бет;бет|бышкыруу|бышкырып жаткан бет
🥵;ысыган жүз;дене табынын жогорулашы|инфаркт|кызарган жүз|тердөө|ысыган жүз|ысык
🥶;үшүгөн жүз;көгөргөн жүз|майда муз|муздак|үшүгөн жүз|үшүк алуу|үшүү
🥴;башы айланган жүз;башы айланган жүз|башы айлануу|көздөрү кыйшайган|мас|оозу кыйшайган|ууланган
😵;башы айланган бет;башы айланган|башы айланган бет|бет
😵‍💫;көздүн ордуна спираль тартылган жүз;баш айлануу|гипноздолгон|көздүн ордуна спираль тартылган жүз|оой|спираль|татаалчылык
🤯;жарылып жаткан баш;айран таң калган|жарылып жаткан баш
🤠;ковбойдун шляпасын кийген бет;бет|ковбой|ковбойдун шляпасын кийген бет|шляпа
🥳;майрамдаган жүз;баш кийим|кече|майрамдаган жүз|майрамдоо|ышкырык
🥸;маска тагынып алган жүз;маска тагынып алган жүз
😎;кара көз айнекчен жылмайган бет;бет|жарык|кара көз айнек|кара көз айнекчен жылмайган бет|көз айнек
🤓;чилистен;бет|окумуштуу|чилистен
🧐;монокль кармаган жүз;бой көтөргөн|монокль кармаган жүз
😕;башы маң болгон бет;башы маң болгон бет|бет
🫤;оозу кыйшайган бет;оозу кыйшайган бет
😟;тынчсызданган бет;бет|тынчсызданган
🙁;ээгин бир аз кемшийткен;бет|бир аз|кемшийт|ээгин бир аз кемшийткен|ээк
☹️;ээгин кемшийткен бет;бет|кемшийт|ээгин кемшийткен бет|ээк
😮;оозу ачылган бет;ач|бет|жактыр|ооз|оозу ачылган бет
😯;таң калган бет;бет|таң калган|таң калган бет|чоочуган
😲;айран-таң калган бет;абдаарып калган бет|айран-таң|айран-таң калган бет|бет|чоочуган
😳;уялган бет;бет|таң калган|уялган
🥺;капалуу жүз;капалуу жүз|суранган|ыйламсыраган көздөр|ырайым сураган
🥹;көзү жашылданган бет;көзү жашылданган бет
😦;оозун аңырдай ачкан бет;аңырдай|ач|бет|ооз|оозун аңырдай ачкан бет
😧;делдейип калган бет;бет|делдей|делдейип калган бет
