# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
😃;kusisqa uya hatun ñawikunawan;kichay|kusi|kusisqa uya hatun ñawikunawan|simi|uya
😄;kusisqa uya kusisqa ñawikunawan;kichay|kusi|kusisqa uya kusisqa ñawikunawan|ñawi|simi|uya
😁;kancharisqa uya kusisqa ñawikunawan;kancharisqa uya kusisqa ñawikunawan|kusi|ñawi|uya
😆;kusisqa uya wichqasqa ñawikunawan;asisqa|asiy|kusisqa uya wichqasqa ñawikunawan|munasqa|simi|uya
😅;kusisqa uya sutʼuwan;asiy|chiri|kichay|kusisqa uya sutʼuwan|sutʼu|uya
🤣;muyusqa kusi jallpʼapi;kusi|muyusqa|muyusqa kusi allpapi|muyusqa kusi jallpʼapi|pampa|uya
😂;kusisqa uya wiqikunawan;kusi|kusisqa|kusisqa uya wiqikunawan|uya|wiqi
🙂;pisi kusisqa uya;kusi|pisi kusisqa uya|uya
🙃;tikrasqa uya;tikrasqa|uya
🫠;chullusqa uya;chinkachisqa|chinkachiy|chullusqa uya|chulluy|yaku
😉;chʼirmi uya;chʼirmi|chʼirmi ya|uya
😊;kusisqa uyata kusisqa ñawikunawan;kusi|kusisqa uyata kusisqa ñawikunawan|ñawi|pʼinqakuy|uya
😇;kusisqa uya aureolawan;angel|aureola|fantasia|juchannaq|kusisqa uya aureolawan|uya
🥰;kusisqa uya sunqukunawan;kusisqa uya sunqukunawan|munanakuy|munasqa|munay|sunqukuna
😍;kusisqa uya sunqukunawan ñawikunapi;kusi|kusisqa uya sunqukunawan ñawikunapi|munay|ñawi|uya
🤩;quyllur añasqa;kusisqa|ñawikuna|quyllur|quyllur añasqa|uya
😘;uya chʼamqasqa huk muchʼata;muchʼa|uya|uya chʼamqasqa huk muchʼata
😗;muchʼasqa uya;muchʼa|muchʼasqa uya|uya
☺️;chiqchisqa uya;chiqchisqa uya|kusi|kusisqa uya|muyusqa|samasqa|uya
😚;muchʼasqa uyata wichqasqa ñawikunawan;muchʼa|muchʼasqa uyata wichqasqa ñawikunawan|ñawi|uya|wichqasqa
😙;muchʼasqa uyata kusisqa ñawikunawan;muchʼa|muchʼasqa uyata kusisqa ñawikunawan|ñawi|uya
🥲;kusisqa uya wiqiwan;apuskachaq|kusisqa|kusisqa uya wiqiwan|kusisqa uya wiwiwan|llamkasqa|pachi|wiqi
